shape,width_mm,depth_mm,height_mm,standoff_mm,total_depth_mm,length_mm,shadow_x_mm,shadow_y_mm,source_height_mm,declared_cut_mm,blur_mm,visible_artwork_percent,score
Rectangle,60,80,36,0,36,300,0,0,30,0.442,0.9965,90.4,0.10873217182470551
Cylinder,80,80,44,20,64,600,0,0,58,0.5891,1.5632,92.77,0.10871819690265487
Rectangle,80,80,44,20,64,600,0,0,58,0.5805,1.5632,92.77,0.10871819690265487
Cylinder,100,100,36,30,66,800,0,0,60,0.5774,1.6612,89.28,0.10821489228568874
Cylinder,100,100,22,0,22,300,0,0,16,0.4106,0.498,79.01,0.10774336283185841
Cylinder,100,100,22,30,52,800,0,0,46,0.4426,1.6612,69.93,0.10757885182663944
Cylinder,60,60,30,10,40,300,0,0,34,0.5089,0.9965,85.88,0.10735619469026549
Rectangle,100,80,30,10,40,450,0,0,34,0.4563,1.1224,85.13,0.10707896321456403
Rectangle,100,80,44,0,44,450,0,0,38,0.5088,1.1224,93.57,0.10699126545599354
Rectangle,80,100,44,0,44,450,0,0,38,0.5088,1.1224,93.45,0.10685634582742357
Rectangle,80,80,36,10,46,450,0,0,40,0.535,1.1224,87.3,0.10675379953828396
Cylinder,100,100,26,20,46,600,0,0,40,0.5132,1.1959,81.68,0.10654097729896113
Rectangle,80,60,36,0,36,300,0,0,30,0.442,0.9965,88.39,0.1063194494608354
Cylinder,60,60,30,30,60,450,0,0,54,0.5389,1.5947,84.88,0.10610250737463127
Cylinder,80,80,30,30,60,600,0,0,54,0.5485,1.5632,84.88,0.10610250737463127
Rectangle,100,80,26,0,26,300,0,0,20,0.4034,0.6816,82.17,0.10600012510765255
Rectangle,80,100,36,20,56,600,0,0,50,0.5023,1.5632,88.35,0.10583159912471349
Rectangle,80,80,30,0,30,300,0,0,24,0.4826,0.6816,84.2,0.10525442477876107
Rectangle,100,80,36,20,56,600,0,0,50,0.5023,1.5632,87.7,0.1050542050743817
Rectangle,80,100,60,0,60,600,0,0,54,0.5415,1.5632,93.91,0.10499295584617375
Rectangle,100,80,60,0,60,600,0,0,54,0.5415,1.5632,93.91,0.10499295584617375
Rectangle,60,80,30,20,50,450,0,0,44,0.4325,1.5947,80.59,0.10468944261677372
Rectangle,60,60,26,30,56,450,0,0,50,0.4894,1.5947,77.89,0.10431810998735778
Rectangle,80,80,26,30,56,600,0,0,50,0.5023,1.5632,77.89,0.10431810998735777
Rectangle,60,60,30,10,40,300,0,0,34,0.4988,0.9965,83.22,0.10401917404129793
Cylinder,100,100,44,10,54,600,0,0,48,0.6158,1.1959,93.48,0.10386758439855784
Rectangle,60,60,30,30,60,450,0,0,54,0.5268,1.5947,82.11,0.10263643067846608
Rectangle,80,80,30,30,60,600,0,0,54,0.5415,1.5632,82.11,0.10263643067846608
Cylinder,60,60,44,20,64,450,0,0,58,0.5788,1.5947,87.17,0.10215016592920355
Rectangle,60,60,44,20,64,450,0,0,58,0.5639,1.5947,87.17,0.10215016592920355
Rectangle,80,100,30,10,40,450,0,0,34,0.4563,1.1224,81.19,0.10212572635068867
Cylinder,100,100,26,10,36,450,0,0,30,0.5132,0.8469,81.68,0.10210176991150442
Rectangle,80,100,26,0,26,300,0,0,20,0.4034,0.6816,79.01,0.1019283199069637
Cylinder,100,100,30,20,50,600,0,0,44,0.5645,1.1959,84.54,0.10145132743362831
Rectangle,60,80,36,20,56,450,0,0,50,0.4894,1.5947,87.39,0.10135904941179676
Rectangle,80,60,36,20,56,450,0,0,50,0.4894,1.5947,87.05,0.10096558812294085
Cylinder,80,80,36,30,66,600,0,0,60,0.6094,1.5632,88.08,0.10009385894341648
Cylinder,100,100,44,30,74,800,0,0,68,0.6543,1.6612,92.48,0.09997608227696722
Cylinder,60,60,44,0,44,300,0,0,38,0.5688,0.9965,87.48,0.09940667739340305
Rectangle,60,60,44,0,44,300,0,0,38,0.5547,0.9965,87.48,0.09940667739340305
Cylinder,60,60,36,30,66,450,0,0,60,0.5987,1.5947,86.52,0.09831724322874764
Cylinder,80,80,26,20,46,450,0,0,40,0.5417,1.1224,80.32,0.09822287418237784
Cylinder,100,100,22,10,32,450,0,0,26,0.4448,0.8469,69.51,0.09775304203539822
Cylinder,80,80,60,10,70,600,0,0,64,0.6501,1.5632,90.75,0.09723451327433627
Rectangle,80,80,60,10,70,600,0,0,64,0.6385,1.5632,90.75,0.09723451327433627
Rectangle,80,80,36,30,66,600,0,0,60,0.5999,1.5632,85.13,0.09674175382139984
Rectangle,60,60,36,30,66,450,0,0,60,0.5824,1.5947,84.47,0.0959875301689461
Rectangle,80,100,44,20,64,600,0,0,58,0.5805,1.5632,91.53,0.09594191004123129
Rectangle,60,80,60,0,60,450,0,0,54,0.5268,1.5947,88.47,0.09576733724002698
Rectangle,80,60,60,0,60,450,0,0,54,0.5268,1.5947,88.47,0.09576733724002698
Rectangle,100,80,36,10,46,450,0,0,40,0.535,1.1224,86.86,0.09499955020798571
Cylinder,100,100,44,0,44,450,0,0,38,0.6501,0.8469,92.6,0.0947003218020917
Cylinder,80,80,44,10,54,450,0,0,48,0.6501,1.1224,90.75,0.09453355457227139
Rectangle,80,80,44,10,54,450,0,0,48,0.6385,1.1224,90.71,0.09448746312684365
Cylinder,100,100,30,10,40,450,0,0,34,0.5816,0.8469,83.94,0.09443030973451327
Cylinder,100,100,26,0,26,300,0,0,20,0.5132,0.498,81.68,0.09424778761061946
Rectangle,100,80,30,0,30,300,0,0,24,0.4826,0.6816,84.2,0.09414241949517921
Cylinder,60,60,36,10,46,300,0,0,40,0.5987,0.9965,86.52,0.09404258047967166
Cylinder,100,100,60,0,60,600,0,0,54,0.6928,1.1959,93.91,0.09390855457227139
