shape,width_mm,depth_mm,height_mm,standoff_mm,total_depth_mm,length_mm,shadow_x_mm,shadow_y_mm,source_height_mm,declared_cut_mm,blur_mm,visible_artwork_percent,score
Rectangle,80,60,36,20,56,600,0,0,50,0.4602,1.9432,73.89,0.1142753843997323
Cylinder,80,80,44,10,54,600,0,0,48,0.6078,1.3792,82.11,0.11404028436018958
Rectangle,80,100,30,0,30,450,0,0,24,0.4029,0.9844,67.24,0.11276379537006494
Rectangle,60,60,30,0,30,300,0,0,24,0.4422,0.8716,67.59,0.11265797788309637
Rectangle,100,80,30,10,40,600,0,0,34,0.4278,1.3792,67.06,0.11246574128538635
Rectangle,60,80,60,0,60,600,0,0,54,0.4959,1.9432,77.82,0.11232905859381491
Rectangle,80,60,60,0,60,600,0,0,54,0.4959,1.9432,77.82,0.11232905859381491
Rectangle,100,80,44,20,64,800,0,0,58,0.5451,1.9056,79.84,0.11157709855143723
Rectangle,80,100,44,20,64,800,0,0,58,0.5451,1.9056,79.66,0.11132872014753842
Cylinder,60,60,36,30,66,600,0,0,60,0.5598,1.9432,73.34,0.11112307913255781
Rectangle,60,80,36,20,56,600,0,0,50,0.4602,1.9432,71.68,0.11085506289979377
Rectangle,80,80,44,10,54,600,0,0,48,0.6002,1.3792,79.52,0.11044738458837985
Rectangle,60,80,30,20,50,600,0,0,44,0.4062,1.9432,63.43,0.10986072657802592
Cylinder,100,100,30,20,50,800,0,0,44,0.5279,1.4669,67.81,0.10849921011058453
Cylinder,80,80,44,30,74,800,0,0,68,0.6458,1.9056,80.23,0.10842299645617182
Rectangle,80,80,36,30,66,800,0,0,60,0.5635,1.9056,71.11,0.10774211307386664
Rectangle,80,60,30,10,40,450,0,0,34,0.4182,1.4074,66.21,0.10751566864963057
Cylinder,100,100,36,20,56,800,0,0,50,0.5998,1.4669,75.06,0.10722748815165879
Rectangle,80,100,30,10,40,600,0,0,34,0.4278,1.3792,63.7,0.10683583079701305
Rectangle,100,80,36,10,46,600,0,0,40,0.5021,1.3792,72.61,0.1058883931751845
Rectangle,60,60,36,30,66,600,0,0,60,0.549,1.9432,69.85,0.10582722964239553
Cylinder,80,80,26,30,56,800,0,0,50,0.4749,1.9056,59.2,0.10571823516136312
Cylinder,60,60,26,30,56,600,0,0,50,0.4665,1.9432,59.2,0.10571823516136311
Rectangle,80,100,60,10,70,800,0,0,64,0.6002,1.9056,82.11,0.10491503780686216
Rectangle,100,80,60,10,70,800,0,0,64,0.6002,1.9056,82.11,0.10491503780686216
Rectangle,80,80,44,30,74,800,0,0,68,0.6367,1.9056,77.35,0.10452692028521413
Cylinder,100,100,30,0,30,450,0,0,24,0.5119,0.7376,69.21,0.10382109004739337
Rectangle,80,80,30,30,60,800,0,0,54,0.5082,1.9056,62.2,0.10367298578199054
Rectangle,60,60,30,30,60,600,0,0,54,0.4959,1.9432,62.2,0.10367298578199052
Cylinder,100,100,26,20,46,800,0,0,40,0.4799,1.4669,59.2,0.10296036815715365
Cylinder,80,80,44,0,44,450,0,0,38,0.6416,0.9844,80.35,0.10272208907798364
Rectangle,80,100,36,10,46,600,0,0,40,0.5021,1.3792,70.3,0.1025190861309918
Cylinder,60,60,36,0,36,300,0,0,30,0.5598,0.8716,73.34,0.101862822538178
Rectangle,100,80,36,0,36,450,0,0,30,0.5021,0.9844,72.61,0.10147637679288515
Rectangle,80,60,36,10,46,450,0,0,40,0.49,1.4074,71.39,0.10079724637726489
Cylinder,100,100,44,20,64,800,0,0,58,0.6958,1.4669,80.63,0.10078495260663507
Rectangle,80,60,44,20,64,600,0,0,58,0.5313,1.9432,74.03,0.10017801018179368
Cylinder,60,60,60,10,70,600,0,0,64,0.5972,1.9432,70.1,0.10014669374858948
Rectangle,60,60,60,10,70,600,0,0,64,0.584,1.9432,70.1,0.10014669374858948
Rectangle,60,80,44,20,64,600,0,0,58,0.5313,1.9432,73.97,0.10009784639663886
Rectangle,60,80,30,10,40,450,0,0,34,0.4182,1.4074,61.47,0.09981994527476885
Cylinder,100,100,30,10,40,600,0,0,34,0.5438,1.0502,66.37,0.09955568720379146
Rectangle,80,80,44,0,44,450,0,0,38,0.6326,0.9844,77.39,0.09893533229211547
Cylinder,100,100,26,10,36,600,0,0,30,0.4799,1.0502,59.2,0.09867035281727225
Rectangle,80,100,36,0,36,450,0,0,30,0.5021,0.9844,70.3,0.09824745754220048
Cylinder,60,60,44,10,54,450,0,0,48,0.5972,1.4074,70.1,0.097364841144462
Rectangle,60,60,44,10,54,450,0,0,48,0.584,1.4074,70.1,0.097364841144462
Cylinder,80,80,60,0,60,600,0,0,54,0.6838,1.3792,77.82,0.09727981832543443
Rectangle,80,80,60,0,60,600,0,0,54,0.673,1.3792,77.82,0.09727981832543443
Rectangle,60,60,36,0,36,300,0,0,30,0.549,0.8716,69.85,0.09700829383886257
Cylinder,80,80,36,20,56,600,0,0,50,0.6332,1.3792,72.41,0.09698184664861205
Cylinder,60,60,30,20,50,450,0,0,44,0.5474,1.4074,64.53,0.09680094786729858
Cylinder,80,80,30,20,50,600,0,0,44,0.5572,1.3792,64.53,0.09680094786729858
Rectangle,60,80,36,10,46,450,0,0,40,0.49,1.4074,68.29,0.09641960663141963
Cylinder,80,80,60,20,80,800,0,0,74,0.7028,1.9056,76.7,0.09587282780410743
Rectangle,80,80,60,20,80,800,0,0,74,0.6911,1.9056,76.7,0.09587282780410743
Rectangle,100,80,44,10,54,600,0,0,48,0.6002,1.3792,76.24,0.09471496468675056
Cylinder,100,100,36,10,46,600,0,0,40,0.6398,1.0502,72.41,0.09445188543169174
Cylinder,100,100,60,10,70,800,0,0,64,0.7678,1.4669,82.11,0.0938388625592417
Rectangle,80,100,44,10,54,600,0,0,48,0.6002,1.3792,74.96,0.0931204366617211
Rectangle,80,80,26,30,56,800,0,0,50,0.4712,1.9056,52.01,0.09288253215978334
Rectangle,60,60,26,30,56,600,0,0,50,0.4602,1.9432,52.01,0.09288253215978333
Rectangle,100,80,36,30,66,800,0,0,60,0.5635,1.9056,67.44,0.09138987198001078
Rectangle,80,60,30,0,30,300,0,0,24,0.4422,0.8716,63.29,0.0913510867275252
Cylinder,60,60,36,20,56,450,0,0,50,0.622,1.4074,67.95,0.0910047816519973
Cylinder,60,60,44,30,74,600,0,0,68,0.6345,1.9432,67.1,0.09067717006105633
Rectangle,60,60,44,30,74,600,0,0,68,0.6188,1.9432,67.1,0.09067717006105633
Cylinder,100,100,36,0,36,450,0,0,30,0.6398,0.7376,72.41,0.09051639020537125
Cylinder,60,60,26,20,46,450,0,0,40,0.4976,1.4074,54.96,0.08960308056872038
Cylinder,80,80,26,20,46,600,0,0,40,0.5065,1.3792,54.96,0.08960308056872038
Rectangle,100,80,44,30,74,800,0,0,68,0.6367,1.9056,73.74,0.08912384001520232
Cylinder,100,100,22,10,32,600,0,0,26,0.4159,1.0502,46.9,0.08793690758293839
Cylinder,80,80,30,10,40,450,0,0,34,0.5741,0.9844,62.48,0.08786285545023696
Rectangle,80,80,36,20,56,600,0,0,50,0.6245,1.3792,65.58,0.08783111882193637
Cylinder,80,80,44,20,64,600,0,0,58,0.7345,1.3792,74.74,0.08758978821090048
Rectangle,80,100,44,30,74,800,0,0,68,0.6367,1.9056,72.41,0.08752467095226216
Cylinder,100,100,44,20,64,600,150.0,0,58,0.4124,1.6752,93.25,0.08741854265402844
Rectangle,80,100,60,0,60,600,0,0,54,0.673,1.3792,77.82,0.08700971464580046
Rectangle,100,80,60,0,60,600,0,0,54,0.673,1.3792,77.82,0.08700971464580046
Rectangle,60,80,60,10,70,600,0,0,64,0.584,1.9432,70.1,0.08672958089129872
Rectangle,80,60,60,10,70,600,0,0,64,0.584,1.9432,70.1,0.08672958089129872
Cylinder,100,100,44,20,64,600,-150.0,0,58,0.4124,1.6752,92.34,0.08656694312796208
Rectangle,80,100,36,30,66,800,0,0,60,0.5635,1.9056,63.86,0.08654607495852265
Rectangle,60,60,36,20,56,450,0,0,50,0.6072,1.4074,64.47,0.08635007616790794
Rectangle,80,60,36,30,66,600,0,0,60,0.549,1.9432,65.74,0.08625947176738942
Rectangle,100,80,30,30,60,800,0,0,54,0.5082,1.9056,57.64,0.08592788870881894
Cylinder,80,80,26,10,36,450,0,0,30,0.5065,0.9844,54.96,0.08586961887835703
Rectangle,80,100,60,20,80,800,0,0,74,0.6911,1.9056,76.7,0.08575126406604644
Rectangle,100,80,60,20,80,800,0,0,74,0.6911,1.9056,76.7,0.08575126406604644
Cylinder,80,80,60,0,60,450,112.5,0,54,0.4053,1.5765,91.37,0.08565980450236967
Rectangle,80,80,60,0,60,450,112.5,0,54,0.4002,1.5765,91.37,0.08565980450236967
Rectangle,60,60,30,20,50,450,0,0,44,0.5372,1.4074,57.05,0.08557464454976303
Rectangle,80,80,30,20,50,600,0,0,44,0.5513,1.3792,57.05,0.08557464454976303
Cylinder,100,100,44,10,54,600,0,0,48,0.7678,1.0502,76.76,0.08528611549938564
Cylinder,80,80,60,0,60,450,-112.5,0,54,0.4053,1.5765,90.68,0.08501184834123222
Rectangle,80,80,60,0,60,450,-112.5,0,54,0.4002,1.5765,90.68,0.08501184834123222
Cylinder,80,80,36,10,46,450,0,0,40,0.6754,0.9844,69.0,0.08437113641046776
Rectangle,100,80,44,0,44,450,0,0,38,0.6326,0.9844,73.76,0.08433575805109982
Rectangle,80,80,44,20,64,600,0,0,58,0.7211,1.3792,71.52,0.0838177577014218
Cylinder,100,100,22,20,42,800,0,0,36,0.4319,1.4669,43.98,0.08376589182276387
Rectangle,80,60,44,10,54,450,0,0,48,0.584,1.4074,69.23,0.08327532763044809
Rectangle,60,80,30,0,30,300,0,0,24,0.4422,0.8716,57.6,0.0831423151276727
Rectangle,60,80,44,10,54,450,0,0,48,0.584,1.4074,68.92,0.0828952919082327
Rectangle,80,100,44,0,44,450,0,0,38,0.6326,0.9844,72.43,0.08282290777280699
Cylinder,80,80,22,0,22,300,0,0,16,0.4052,0.5896,48.06,0.08192858681602759
Cylinder,60,60,22,30,52,600,0,0,46,0.4292,1.9432,42.46,0.08164722323490096
Cylinder,80,80,22,30,52,800,0,0,46,0.4369,1.9056,42.46,0.08164722323490096
Cylinder,100,100,44,20,64,600,0,-150.0,58,0.4124,1.6752,86.89,0.08145734597156398
Rectangle,80,60,30,30,60,600,0,0,54,0.4959,1.9432,56.18,0.08109012222770957
Cylinder,100,100,60,10,70,600,150.0,0,64,0.455,1.6752,94.29,0.08082261340555179
Cylinder,100,100,36,30,66,800,0,0,60,0.7198,1.4669,66.41,0.08049691225046675
Rectangle,60,80,36,30,66,600,0,0,60,0.549,1.9432,61.24,0.08035164372204104
Cylinder,100,100,44,30,74,800,0,0,68,0.8158,1.4669,74.19,0.08020579821527687
Rectangle,80,100,30,30,60,800,0,0,54,0.5082,1.9056,53.57,0.07986377597362992
Cylinder,100,100,60,10,70,600,-150.0,0,64,0.455,1.6752,93.17,0.07985781990521328
Cylinder,80,80,60,0,60,450,0,-112.5,54,0.4053,1.5765,85.13,0.07980968601895734
Rectangle,80,80,60,0,60,450,0,-112.5,54,0.4002,1.5765,85.13,0.07980968601895734
Cylinder,60,60,60,0,60,450,0,0,54,0.6718,1.4074,63.84,0.0798035150078989
Rectangle,60,60,60,0,60,450,0,0,54,0.6533,1.4074,63.84,0.0798035150078989
Cylinder,80,80,26,0,26,300,0,0,20,0.5065,0.5896,54.96,0.07926426358002187
Rectangle,80,60,36,0,36,300,0,0,30,0.549,0.8716,65.74,0.0790711824534403
Cylinder,80,80,60,30,90,800,0,0,84,0.7978,1.9056,70.85,0.07872564507635599
Rectangle,80,80,60,30,90,800,0,0,84,0.7807,1.9056,70.85,0.07872564507635599
Cylinder,80,80,44,20,64,450,112.5,0,58,0.4353,1.5765,88.94,0.07817128258293839
Cylinder,80,80,44,20,64,450,-112.5,0,58,0.4353,1.5765,88.7,0.07796301095971564
Rectangle,80,80,30,10,40,450,0,0,34,0.5676,0.9844,55.41,0.0779213566350711
Cylinder,100,100,60,0,60,600,0,0,54,0.8638,1.0502,77.82,0.07782385466034755
Rectangle,80,60,44,30,74,600,0,0,68,0.6188,1.9432,66.39,0.07769676272157686
Cylinder,60,60,60,20,80,600,0,0,74,0.6905,1.9432,62.14,0.07768068720379147
Rectangle,60,60,60,20,80,600,0,0,74,0.6704,1.9432,62.14,0.07768068720379147
Rectangle,60,60,26,20,46,450,0,0,40,0.49,1.4074,47.37,0.07723959406552648
Rectangle,80,80,26,20,46,600,0,0,40,0.5021,1.3792,47.37,0.07723959406552648
Rectangle,60,80,44,30,74,600,0,0,68,0.6188,1.9432,65.92,0.07714211599185711
Cylinder,100,100,60,20,80,800,0,0,74,0.8877,1.4669,76.7,0.07669826224328595
Rectangle,80,100,60,0,60,450,112.5,0,54,0.4002,1.5765,91.37,0.07661645832265644
Rectangle,100,80,60,0,60,450,112.5,0,54,0.4002,1.5765,91.37,0.07661645832265644
Rectangle,80,80,36,10,46,450,0,0,40,0.6649,0.9844,62.6,0.07654736760766537
Cylinder,80,80,44,0,44,300,75.0,0,38,0.4278,0.9843,89.57,0.07634101680310212
Cylinder,100,100,44,0,44,450,0,0,38,0.8104,0.7376,74.41,0.07609866436880655
Rectangle,80,100,60,0,60,450,-112.5,0,54,0.4002,1.5765,90.68,0.0760369087135592
Rectangle,100,80,60,0,60,450,-112.5,0,54,0.4002,1.5765,90.68,0.0760369087135592
Cylinder,80,80,44,0,44,300,-75.0,0,38,0.4278,0.9843,89.14,0.075970756139595
Rectangle,80,80,44,20,64,450,112.5,0,58,0.429,1.5765,86.0,0.07558524326125593
Rectangle,80,80,44,20,64,450,-112.5,0,58,0.429,1.5765,85.9,0.07549846341824645
Cylinder,100,100,60,10,70,600,0,-150.0,64,0.455,1.6752,88.03,0.07545700744752877
Cylinder,100,100,44,10,54,450,112.5,0,48,0.455,1.2064,90.44,0.0753686150605582
Cylinder,80,80,60,10,70,600,0,0,64,0.8104,1.3792,70.1,0.07511002031144211
Rectangle,80,80,60,10,70,600,0,0,64,0.7926,1.3792,70.1,0.07511002031144211
Cylinder,100,100,44,10,54,450,-112.5,0,48,0.455,1.2064,90.01,0.07500658241179568
Cylinder,100,100,36,30,66,600,-150.0,0,60,0.4266,1.6752,82.46,0.07496768634209393
Cylinder,80,80,22,10,32,450,0,0,26,0.439,0.9844,42.26,0.07428354561611375
Cylinder,100,100,36,30,66,600,150.0,0,60,0.4266,1.6752,81.67,0.07424960505529227
Rectangle,100,80,26,30,56,800,0,0,50,0.4712,1.9056,46.39,0.0740877296201056
Rectangle,100,80,36,20,56,600,0,0,50,0.6245,1.3792,61.81,0.07404041944793438
Rectangle,80,80,26,10,36,450,0,0,30,0.5021,0.9844,47.37,0.07402127764612954
Rectangle,80,80,44,0,44,300,75.0,0,38,0.4218,0.9843,86.79,0.07396798255062474
Cylinder,100,100,30,30,60,800,0,0,54,0.6478,1.4669,55.43,0.0739073196419168
Rectangle,80,80,44,0,44,300,-75.0,0,38,0.4218,0.9843,86.57,0.07378285221887118
Cylinder,80,80,30,0,30,300,0,0,24,0.6078,0.5896,58.95,0.0736818720379147
Rectangle,60,80,30,30,60,600,0,0,54,0.4959,1.9432,51.05,0.07367942564450941
Rectangle,60,80,36,0,36,300,0,0,30,0.549,0.8716,61.24,0.07365567341187094
Cylinder,80,80,44,20,64,450,0,-112.5,58,0.4353,1.5765,83.41,0.07331161137440757
Cylinder,80,80,44,10,54,450,0,0,48,0.8104,0.9844,70.1,0.0730236308583465
Rectangle,80,80,44,20,64,450,0,-112.5,58,0.429,1.5765,82.54,0.07254794875592417
Cylinder,100,100,44,30,74,600,150.0,0,68,0.4835,1.6752,88.43,0.07169847572691175
Cylinder,100,100,44,30,74,600,-150.0,0,68,0.4835,1.6752,88.21,0.07152235173562188
