shape,width_mm,depth_mm,height_mm,standoff_mm,total_depth_mm,length_mm,shadow_x_mm,shadow_y_mm,source_height_mm,declared_cut_mm,blur_mm,visible_artwork_percent,score
Rectangle,80,80,36,20,56,300,0,0,50,0.4805,0.5896,25.87,0.0173229096140826
Rectangle,60,80,60,10,70,300,0,0,64,0.4394,0.8716,27.88,0.017248192706832925
Rectangle,80,60,60,10,70,300,0,0,64,0.4394,0.8716,27.88,0.017248192706832925
Cylinder,80,80,30,20,50,300,0,0,44,0.4457,0.5896,22.81,0.017106042654028437
Cylinder,60,60,44,30,74,300,0,0,68,0.5076,0.8716,24.9,0.01682517825882755
Rectangle,60,60,44,30,74,300,0,0,68,0.4623,0.8716,24.9,0.01682517825882755
Cylinder,100,100,60,30,90,450,0,0,84,0.7166,0.7376,33.21,0.01660742496050553
Cylinder,100,100,30,30,60,450,0,0,54,0.4607,0.7376,21.96,0.01646919431279621
Rectangle,80,80,30,20,50,300,0,0,44,0.4277,0.5896,21.74,0.01630627962085308
Cylinder,100,100,60,30,90,300,0,-75.0,84,0.4778,0.7376,46.8,0.015600315955766192
Cylinder,80,80,60,10,70,300,0,0,64,0.6484,0.5896,27.88,0.014937373053486795
Rectangle,80,80,60,10,70,300,0,0,64,0.5964,0.5896,27.88,0.014937373053486795
Rectangle,100,80,44,20,64,300,0,0,58,0.548,0.5896,28.5,0.014933751534416638
Rectangle,100,80,36,20,56,300,0,0,50,0.4805,0.5896,24.61,0.01473711863133007
Rectangle,60,80,36,30,66,300,0,0,60,0.4158,0.8716,22.26,0.014601145191025514
Rectangle,60,80,44,30,74,300,0,0,68,0.4623,0.8716,24.76,0.01449014581392882
Rectangle,80,60,44,30,74,300,0,0,68,0.4623,0.8716,23.85,0.013958609364614046
Cylinder,80,80,26,20,46,300,0,0,40,0.4052,0.5896,16.98,0.013844529157222335
Cylinder,60,60,60,20,80,300,0,0,74,0.5524,0.8716,21.54,0.013465146129541864
Rectangle,60,60,60,20,80,300,0,0,74,0.4954,0.8716,21.54,0.013465146129541864
Rectangle,80,100,60,10,70,300,0,0,64,0.5964,0.5896,27.88,0.013360392621148031
Rectangle,100,80,60,10,70,300,0,0,64,0.5964,0.5896,27.88,0.013360392621148031
Rectangle,80,100,44,20,64,300,0,0,58,0.548,0.5896,24.64,0.012915677002738712
Cylinder,80,80,44,30,74,300,0,0,68,0.6889,0.5896,24.9,0.012618883694120661
Rectangle,80,100,36,20,56,300,0,0,50,0.4805,0.5896,20.7,0.012395265108855467
Cylinder,80,80,36,30,66,300,0,0,60,0.6078,0.5896,21.78,0.012375682177222463
Cylinder,100,100,60,30,90,300,-75.0,0,84,0.4778,0.7376,36.99,0.012328857293312269
Cylinder,100,100,44,20,64,300,0,0,58,0.7422,0.4251,25.77,0.01207975414691943
Cylinder,100,100,26,30,56,450,0,0,50,0.4265,0.7376,14.93,0.011996445497630332
